store_name,address,Latitude,Longitude,district,district_en
히어로 카츠&소바,서울 관악구 봉천동 970-32,37.4890185,126.9295925,관악구,gwanak_gu
폼나는BAB,서울 서초구 서초동 1476-11,37.4819882,127.0103194,서초구,seocho_gu
규니왕타코 이대점,서울 서대문구 대현동 101-22,37.5571036,126.9431168,서대문구,seodaemun_gu
팔도부침나라,서울 광진구 중곡동 221-9,37.5633625,127.0815528,광진구,gwangjin_gu
무교동 가마솥 왕족발,서울 광진구 자양동 44-2,37.5364865,127.0648626,광진구,gwangjin_gu
흥부왕족발,서울 광진구 중곡동 241-1,37.5636385,127.0801832,광진구,gwangjin_gu
매운콩불,서울 서초구 방배동 821-12,37.4896966,126.9872427,서초구,seocho_gu
진전복삼계탕 논현직영점,서울 강남구 논현동 83-10,37.5163609,127.0337404,강남구,gangnam_gu
동해원,서울 서대문구 충정로3가 30-10,37.5619156,126.9616713,서대문구,seodaemun_gu
신미불닭발,서울 서대문구 창천동 5-34,37.5585989,126.9394141,서대문구,seodaemun_gu
우동야마이루식 관악점,서울 관악구 봉천동 1717-3,37.4875956,126.9599089,관악구,gwanak_gu
수려한상 도곡점,서울 강남구 도곡동 425-5,37.4820809,127.0436192,강남구,gangnam_gu
겐코쇼쿠도 문정역점,서울 송파구 문정동 651,37.4855846,127.1225635,송파구,songpa_gu
천수냉면,서울 동작구 노량진동 210-8,37.5117418,126.9455481,동작구,dongjak_gu
산야초 닭한마리,서울 송파구 방이동 169-10,37.5130159,127.1191931,송파구,songpa_gu
도로시파스타,서울 송파구 방이동 159-22,37.5116526,127.1188981,송파구,songpa_gu
고기혁명 마포점,서울 마포구 망원동 438-22,37.5589049,126.9000444,마포구,mapo_gu
갈매기의 꿈,서울 성동구 도선동 185-77,37.5635922,127.0330075,성동구,seongdong_gu
배가네 목포집,서울 강남구 신사동 514,37.5173293,127.0209793,강남구,gangnam_gu
독도쭈꾸미,서울 송파구 풍납동 478,37.5369086,127.1219405,송파구,songpa_gu
뚝섬해물탕,서울 성동구 성수동2가 566-20,37.5373342,127.0556948,성동구,seongdong_gu
밥향기,서울 송파구 가락동 77-4,37.4957234,127.1221502,송파구,songpa_gu
신참치,서울 송파구 방이동 51-2,37.5152322,127.1146774,송파구,songpa_gu
차차네김볶,서울 성동구 행당동 318-28,37.5585567,127.0336069,성동구,seongdong_gu
파스타어때 송파점,서울 송파구 방이동 62-8,37.5134354,127.1087038,송파구,songpa_gu
함흥순대국,서울 성동구 금호동1가 1764-1,37.5507442,127.0259178,성동구,seongdong_gu
호야네족발보쌈,서울 성동구 하왕십리동 966-37,37.5617774,127.0328336,성동구,seongdong_gu
갈비찜과물회,서울 송파구 잠실동 218-4,37.5085545,127.082951,송파구,songpa_gu
골목식당포차,서울 송파구 송파동 146-1,37.5066204,127.1163537,송파구,songpa_gu
담아내다,서울 송파구 송파동 143-2,37.5071807,127.116107,송파구,songpa_gu
유명집 안동찜닭.닭도리탕,서울 송파구 가락동 130,37.4942105,127.1255319,송파구,songpa_gu
샤크로플,서울 송파구 가락동 141-4,37.4947525,127.126708,송파구,songpa_gu
