,store_name,address,district,district_en
163,할매보쌈부대찌개,서울 용산구 원효로2가 91-11,용산구,yongsan_gu
164,월간미식,서울 용산구 용문동 28-20,용산구,yongsan_gu
165,호화반점,서울 용산구 원효로2가 27-10,용산구,yongsan_gu
166,마녀찜닭,서울 용산구 보광동 246-2,용산구,yongsan_gu
167,창성옥,서울 용산구 용문동 25-16,용산구,yongsan_gu
168,천하뼈다귀,서울 용산구 보광동 81-1,용산구,yongsan_gu
169,빙고코다리 아구찜,서울 용산구 보광동 217-16,용산구,yongsan_gu
170,가정식 백반,서울 용산구 청파동3가 111-59,용산구,yongsan_gu
171,이촌삼계탕,서울 용산구 이촌동 302-64,용산구,yongsan_gu
172,한사바리해장국,서울 마포구 창전동 2-31,마포구,mapo_gu
173,미당푸드,서울 서초구 양재동 15-10,서초구,seocho_gu
174,피슈마라홍탕 신촌점,서울 서대문구 창천동 72-12,서대문구,seodaemun_gu
175,방배송이족발,서울 서초구 방배동 777-5,서초구,seocho_gu
176,송가네보쌈,서울 서초구 방배동 911-20,서초구,seocho_gu
177,삼겹전문소년배달돼지 강남점,서울 서초구 반포동 731-27,서초구,seocho_gu
178,돈삼촌 김치찜 역삼점,서울 강남구 역삼동 719-24,강남구,gangnam_gu
179,한양불족발,서울 서초구 방배동 876-20,서초구,seocho_gu
180,오니기리와 이규동,서울 성동구 성수동2가 289-211,성동구,seongdong_gu
181,미미롤집,서울 마포구 상암동 1597,마포구,mapo_gu
182,"이불덮밥 상암DMC점,스키야키&모츠나베",서울 마포구 상암동 1596,마포구,mapo_gu
183,1992철판전문점,서울 마포구 상암동 1601,마포구,mapo_gu
184,쭝일아찌5단계빨강떡볶이,서울 용산구 신계동 36-14,용산구,yongsan_gu
185,미다래,서울 용산구 한강로3가 16-9,용산구,yongsan_gu
186,버팔로 스팟,서울 서초구 방배동 941-11,서초구,seocho_gu
187,동궁찜닭 송파점,서울 송파구 석촌동 240-22,송파구,songpa_gu
188,동궁찜닭 사당점,서울 동작구 사당동 39-16,동작구,dongjak_gu
189,닭갈비전,서울 서초구 서초동 1309-1,서초구,seocho_gu
190,토요커리,서울 서초구 반포동 720-24,서초구,seocho_gu
191,부다스밸리,서울 용산구 이태원동 457-1,용산구,yongsan_gu
192,본떡볶이,서울 성동구 용답동 159-1,성동구,seongdong_gu
193,카페더수,서울 강남구 역삼동 702-23,강남구,gangnam_gu
194,황토왕김치감자탕,서울 광진구 구의동 252-130,광진구,gwangjin_gu
195,수셰프치킨 구의점,서울 광진구 구의동 599-8,광진구,gwangjin_gu
196,최배달떡순튀 구의점,서울 광진구 구의동 252-65,광진구,gwangjin_gu
197,화양양꼬치,서울 광진구 구의동 252-77,광진구,gwangjin_gu
198,호세야 구의점,서울 광진구 구의동 210-2,광진구,gwangjin_gu
199,두마리찜닭 관악 난곡점,서울 관악구 신림동 1727,관악구,gwanak_gu
200,카사아지오,서울 강남구 역삼동 672-33,강남구,gangnam_gu
201,갯벌낙지 수제비,서울 서대문구 남가좌동 3-92,서대문구,seodaemun_gu
202,우사골 순대국밥,서울 서대문구 대현동 56-33,서대문구,seodaemun_gu
203,명랑한찜닭,서울 서대문구 창천동 52-144,서대문구,seodaemun_gu
